기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%),유학생수_원본,언어비율_원본,유학생수_점수_70,언어능력_점수_30,외국인학생_점수
2025.0,서울,서울시립대학교,725,185,9,48,9,0,239,239,0,0,95.2,725.0,95.2,10.158126501200961,28.560000000000002,38.71812650120096
2025.0,경기,서울신학대학교,407,11,0,1,2,0,7,7,0,0,50.0,407.0,50.0,5.702562049639711,15.0,20.70256204963971
2025.0,서울,서울여자대학교,1131,601,86,0,17,0,240,240,0,0,34.1,1131.0,34.1,15.846677341873498,10.23,26.0766773418735
2025.0,경기,서울장신대학교,42,42,0,0,0,0,42,2,40,0,100.0,42.0,100.0,0.588470776621297,30.0,30.588470776621296
2025.0,서울,서울한영대학교,308,226,0,0,0,0,76,3,71,2,33.6,308.0,33.6,4.315452361889512,10.08,14.395452361889511
2025.0,충북,서원대학교,1001,923,2,3,5,0,113,32,81,0,12.1,1001.0,12.1,14.025220176140913,3.63,17.65522017614091
2025.0,충남,선문대학교,2200,917,33,158,59,0,701,443,254,4,60.1,2200.0,60.1,30.824659727782226,18.03,48.85465972778223
2025.0,경기,성결대학교,388,33,0,1,13,0,32,32,0,0,68.1,388.0,68.1,5.436349079263411,20.43,25.86634907926341
2025.0,서울,성공회대학교,275,223,0,1,0,0,78,6,72,0,34.8,275.0,34.8,3.8530824659727783,10.44,14.293082465972777
2025.0,서울,성균관대학교,3911,1739,58,287,186,0,2064,1942,45,77,90.9,3911.0,90.9,54.797838270616495,27.27,82.06783827061649
2025.0,서울,성신여자대학교,890,53,13,10,65,0,113,98,15,0,80.1,890.0,80.1,12.469975980784628,24.029999999999998,36.499975980784626
2025.0,충북,세명대학교,237,31,15,3,12,0,41,41,0,0,67.2,237.0,67.2,3.320656525220176,20.16,23.480656525220176
2025.0,서울,세종대학교,2844,873,1,526,230,0,1212,282,901,29,74.4,2844.0,74.4,39.847878302642116,22.320000000000004,62.16787830264212
2025.0,서울,세종사이버대학교,134,70,2,54,8,0,0,0,0,0,0.0,134.0,0.0,1.8775020016012811,0.0,1.8775020016012811
2025.0,전남,세한대학교,62,46,1,1,14,0,2,2,0,0,3.2,62.0,3.2,0.8686949559647719,0.96,1.8286949559647718
2025.0,광주,송원대학교,400,217,0,3,8,0,46,46,0,0,20.2,400.0,20.2,5.604483586869495,6.06,11.664483586869494
2025.0,경기,수원가톨릭대학교,1,1,0,0,0,0,1,1,0,0,100.0,1.0,100.0,0.014011208967173738,30.0,30.014011208967172
2025.0,경기,수원대학교,73,11,0,0,3,0,5,5,0,0,35.7,73.0,35.7,1.022818254603683,10.71,11.732818254603684
2025.0,서울,숙명여자대학교,520,120,10,3,27,0,95,69,26,0,59.4,520.0,59.4,7.285828662930345,17.82,25.105828662930346
2025.0,충남,순천향대학교,675,430,12,117,5,0,291,171,120,0,51.6,675.0,51.6,9.457566052842274,15.48,24.937566052842275
2025.0,서울,숭실대학교,2479,1549,3,182,18,0,1144,1144,0,0,65.3,2479.0,65.3,34.7337870296237,19.59,54.3237870296237
2025.0,서울,숭실사이버대학교,98,95,0,3,0,0,0,0,0,0,0.0,98.0,0.0,1.3730984787830265,0.0,1.3730984787830265
2025.0,경북,신경주대학교,168,97,0,0,3,0,96,2,94,0,96.0,168.0,96.0,2.353883106485188,28.799999999999997,31.153883106485186
2025.0,부산,신라대학교,1093,332,20,228,41,0,156,85,61,10,25.1,1093.0,25.1,15.314251401120897,7.53,22.844251401120896
2025.0,경기,신한대학교,10,4,0,4,0,0,2,2,0,0,25.0,10.0,25.0,0.14011208967173738,7.5,7.640112089671737
2025.0,경기,신한대학교_제2캠퍼스,1127,433,104,98,83,0,87,87,0,0,12.1,1127.0,12.1,15.790632506004805,3.63,19.420632506004804
2025.0,경기,아신대학교,2,2,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.028022417934347475,0.0,0.028022417934347475
2025.0,경기,아주대학교,2411,541,9,387,0,0,533,524,9,0,56.9,2411.0,56.9,33.78102481985589,17.07,50.85102481985589
2025.0,경기,안양대학교,16,5,0,3,2,0,3,3,0,0,30.0,16.0,30.0,0.2241793434747798,9.0,9.22417934347478
2025.0,강원,연세대학교(미래)_분교,622,487,33,14,0,9,94,93,0,1,17.3,622.0,17.3,8.714971977582065,5.19,13.904971977582065
2025.0,서울,연세대학교,4740,1772,153,252,1,5,1319,854,317,148,60.4,4740.0,60.4,66.41313050440353,18.12,84.53313050440353
