기준연도,지역,학교,유학생_전체계,전공_인문사회계열,전공_자연과학계열,전공_공학계열,전공_예체능계열,전공_의학계열,언어능력_합계(E),TOPIK_4급이상_충족,영어능력_충족,영어권_국적학생,언어능력_충족비율(%)
2025.0,충북,충북대학교,826,267,40,80,4,1,201,201,0,0,51.3
2025.0,경기,칼빈대학교,1940,1777,79,0,0,0,580,64,505,11,31.3
2025.0,서울,태재대학교,13,11,0,2,0,0,0,0,0,0,0.0
2025.0,경기,평택대학교,149,39,1,0,2,0,41,9,32,0,97.6
2025.0,경북,포항공과대학교,47,0,0,0,0,0,0,0,0,0,0.0
2025.0,경기,한경국립대학교,245,55,9,10,4,0,16,16,0,0,20.5
2025.0,경기,한국공학대학교,529,21,0,194,0,0,66,66,0,0,30.7
2025.0,대전,한국과학기술원,481,20,34,337,0,0,9,9,0,0,2.3
2025.0,충북,한국교원대학교,2,0,0,0,0,0,0,0,0,0,0.0
2025.0,충남,한국기술교육대학교,75,2,0,24,0,0,23,23,0,0,88.5
2025.0,서울,한국방송통신대학교,432,356,70,4,2,0,0,0,0,0,0.0
2025.0,서울,한국성서대학교,113,10,0,10,0,0,6,6,0,0,30.0
2025.0,서울,한국열린사이버대학교,30,10,12,8,0,0,0,0,0,0,0.0
2025.0,서울,한국예술종합학교,86,0,0,0,55,0,37,37,0,0,67.3
2025.0,서울,한국외국어대학교,2949,2145,2,26,0,0,846,680,157,9,38.9
2025.0,충남,한국전통문화대학교,4,0,0,1,3,0,0,0,0,0,0.0
2025.0,서울,한국체육대학교,11,0,0,0,11,0,10,10,0,0,90.9
2025.0,대전,한국침례신학대학교,4,2,0,0,2,0,0,0,0,0,0.0
2025.0,경기,한국항공대학교,194,131,43,17,0,0,108,47,61,0,56.5
2025.0,대전,한남대학교,1599,505,7,67,26,0,218,183,35,0,36.0
2025.0,경북,한동대학교,177,109,4,26,0,0,66,9,28,29,47.5
2025.0,강원,한라대학교,196,157,0,15,7,0,47,16,31,0,26.3
2025.0,강원,한림대학교,168,107,0,5,1,0,28,21,7,0,24.8
2025.0,충남,한서대학교,205,64,12,3,40,0,39,39,0,0,32.8
2025.0,서울,한성대학교,506,113,0,2,148,0,187,187,0,0,71.1
2025.0,경기,한세대학교,22,8,0,0,6,0,5,5,0,0,35.7
2025.0,경기,한신대학교,242,172,0,6,0,0,44,44,0,0,24.7
2025.0,경기,한양대학교(ERICA)_분교,2503,1087,39,438,532,0,891,853,38,0,42.5
2025.0,서울,한양대학교,3988,1274,127,359,352,0,1544,1307,224,13,73.1
2025.0,서울,한양사이버대학교,151,64,0,16,11,0,7,7,0,0,7.7
2025.0,전북,한일장신대학교,276,46,12,0,0,0,51,2,49,0,87.9
2025.0,경기,협성대학교,98,1,0,1,0,0,0,0,0,0,0.0
2025.0,광주,호남대학교,1118,460,10,34,234,0,172,172,0,0,23.3
2025.0,광주,호남신학대학교,2,2,0,0,0,0,1,1,0,0,50.0
2025.0,충남,호서대학교,504,163,21,22,69,0,134,83,38,13,48.7
2025.0,전북,호원대학교,689,288,44,120,51,0,121,121,0,0,24.1
2025.0,서울,홍익대학교,1394,37,0,34,866,0,706,706,0,0,75.3
2025.0,세종,홍익대학교_제2캠퍼스,86,2,0,5,79,0,59,59,0,0,68.6
2025.0,경기,화성의과학대학교,1,0,1,0,0,0,1,1,0,0,100.0
2025.0,부산,화신사이버대학교,4,4,0,0,0,0,0,0,0,0,0.0
